FIPS,County,State,Condition,Urban/Rural,Total,Total No. of Beneficiaries,White,No. of Beneficiaries Who are White,Black,No. of Beneficiaries Who are Black,Asian/Pacific Islander,No. of Beneficiaries Who are Asian/Pacific Islander,Hispanic,No. of Beneficiaries Who are Hispanic,American Indian/Alaska Native,No. of Beneficiaries Who are American Indian/Alaska Native,Other,No. of Beneficiaries Who are in Other Ethic Groups
01001,AUTAUGA,AL,Chronic Kidney Disease,Urban,26,"[1,000-4,999]",25,"[1,000-4,999]",32,[500-999],25,[11-499],24,[11-499],*,*,0,[11-499]
01003,BALDWIN,AL,Chronic Kidney Disease,Rural,23,"[10,000+]",22,"[10,000+]",30,"[1,000-4,999]",19,[11-499],19,[11-499],21,[11-499],18,[11-499]
01005,BARBOUR,AL,Chronic Kidney Disease,Rural,30,"[1,000-4,999]",26,"[1,000-4,999]",37,[500-999],*,*,*,*,*,*,*,*
01007,BIBB,AL,Chronic Kidney Disease,Urban,32,"[1,000-4,999]",31,"[1,000-4,999]",35,[11-499],*,*,*,*,*,*,*,*
01009,BLOUNT,AL,Chronic Kidney Disease,Urban,25,"[1,000-4,999]",25,"[1,000-4,999]",21,[11-499],*,*,29,[11-499],*,*,25,[11-499]
01011,BULLOCK,AL,Chronic Kidney Disease,Rural,29,[500-999],29,[11-499],30,[11-499],*,*,*,*,*,*,*,*
01013,BUTLER,AL,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",25,"[1,000-4,999]",30,"[1,000-4,999]",*,*,*,*,*,*,*,*
01015,CALHOUN,AL,Chronic Kidney Disease,Urban,29,"[10,000+]",28,"[10,000+]",35,"[1,000-4,999]",27,[11-499],24,[11-499],*,*,25,[11-499]
01017,CHAMBERS,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",26,"[1,000-4,999]",33,"[1,000-4,999]",*,*,33,[11-499],*,*,23,[11-499]
01019,CHEROKEE,AL,Chronic Kidney Disease,Rural,32,"[1,000-4,999]",32,"[1,000-4,999]",41,[11-499],*,*,0,[11-499],*,*,*,*
01021,CHILTON,AL,Chronic Kidney Disease,Urban,32,"[1,000-4,999]",31,"[1,000-4,999]",39,[11-499],*,*,61,[11-499],*,*,*,*
01023,CHOCTAW,AL,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",25,"[1,000-4,999]",30,"[1,000-4,999]",*,*,*,*,*,*,*,*
01025,CLARKE,AL,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",20,"[1,000-4,999]",26,"[1,000-4,999]",*,*,*,*,*,*,*,*
01027,CLAY,AL,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",26,"[1,000-4,999]",31,[11-499],*,*,21,[11-499],*,*,*,*
01029,CLEBURNE,AL,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",26,"[1,000-4,999]",43,[11-499],*,*,29,[11-499],*,*,*,*
01031,COFFEE,AL,Chronic Kidney Disease,Rural,24,"[5,000-9,999]",24,"[5,000-9,999]",31,[500-999],17,[11-499],14,[11-499],*,*,21,[11-499]
01033,COLBERT,AL,Chronic Kidney Disease,Urban,26,"[5,000-9,999]",25,"[5,000-9,999]",35,"[1,000-4,999]",13,[11-499],0,[11-499],*,*,24,[11-499]
01035,CONECUH,AL,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",21,"[1,000-4,999]",22,[500-999],*,*,*,*,*,*,*,*
01037,COOSA,AL,Chronic Kidney Disease,Rural,31,"[1,000-4,999]",29,"[1,000-4,999]",37,[11-499],*,*,*,*,*,*,*,*
01039,COVINGTON,AL,Chronic Kidney Disease,Rural,31,"[5,000-9,999]",30,"[5,000-9,999]",36,[500-999],36,[11-499],32,[11-499],0,[11-499],0,[11-499]
