,chsi_State_FIPS_Code,chsi_County_FIPS_Code,chsi_Strata_Determining_Factors,chsi_CHSI_County_Name,chsi_CHSI_State_Name,chsi_CHSI_State_Abbr,chsi_Strata_ID_Number,chsi_Number_Counties,chsi_Population_Size,chsi_Min_Population_Size,chsi_Max_Population_Size,chsi_Population_Density,chsi_Min_Population_Density,chsi_Max_Population_Density,chsi_Poverty,chsi_Min_Poverty,chsi_Max_Poverty,chsi_Age_19_Under,chsi_Min_Age_19_Under,chsi_Max_Age_19_Under,chsi_Age_19_64,chsi_Min_Age_19_64,chsi_Max_Age_19_65,chsi_Age_65_84,chsi_Min_Age_65_84,chsi_Max_Age_65_85,chsi_Age_85_and_Over,chsi_Min_Age_85_and_Over,chsi_Max_Age_85_and_Over,chsi_White,chsi_Min_White,chsi_Max_White,chsi_Black,chsi_Min_Black,chsi_Max_Black,chsi_Native_American,chsi_Min_Native_American,chsi_Max_Native_American,chsi_Asian,chsi_Min_Asian,chsi_Max_Asian,chsi_Hispanic,chsi_Min_Hispanic,chsi_Max_Hispanic,chsi_FluB_Rpt,chsi_FluB_Ind,chsi_FluB_Exp,chsi_HepA_Rpt,chsi_HepA_Ind,chsi_HepA_Exp,chsi_HepB_Rpt,chsi_HepB_Ind,chsi_HepB_Exp,chsi_Meas_Rpt,chsi_Meas_Ind,chsi_Meas_Exp,chsi_Pert_Rpt,chsi_Pert_Ind,chsi_Pert_Exp,chsi_CRS_Rpt,chsi_CRS_Ind,chsi_CRS_Exp,chsi_Syphilis_Rpt,chsi_Syphilis_Ind,chsi_Syphilis_Exp,chsi_ID_Time_Span,chsi_Pap_Smear,chsi_CI_Min_Pap_Smear,chsi_CI_Max_Pap_Smear,chsi_Mammogram,chsi_CI_Min_Mammogram,chsi_CI_Max_Mammogram,chsi_Proctoscopy,chsi_CI_Min_Proctoscopy,chsi_CI_Max_Proctoscopy,chsi_Pneumo_Vax,chsi_CI_Min_Pneumo_Vax,chsi_CI_Max_Pneumo_Vax,chsi_Flu_Vac,chsi_CI_Min_Flu_Vac,chsi_CI_Max_Flu_Vac,chsi_No_Exercise,chsi_CI_Min_No_Exercise,chsi_CI_Max_No_Exercise,chsi_Few_Fruit_Veg,chsi_CI_Min_Fruit_Veg,chsi_CI_Max_Fruit_Veg,chsi_Obesity,chsi_CI_Min_Obesity,chsi_CI_Max_Obesity,chsi_High_Blood_Pres,chsi_CI_Min_High_Blood_Pres,chsi_CI_Max_High_Blood_Pres,chsi_Smoker,chsi_CI_Min_Smoker,chsi_CI_Max_Smoker,chsi_Diabetes,chsi_CI_Min_Diabetes,chsi_CI_Max_Diabetes,chsi_Uninsured,chsi_Elderly_Medicare,chsi_Disabled_Medicare,chsi_Prim_Care_Phys_Rate,chsi_Dentist_Rate,chsi_Community_Health_Center_Ind,chsi_HPSA_Ind,chsi_ALE,chsi_Min_ALE,chsi_Max_ALE,chsi_US_ALE,chsi_All_Death,chsi_Min_All_Death,chsi_Max_All_Death,chsi_US_All_Death,chsi_CI_Min_All_Death,chsi_CI_Max_All_Death,chsi_Health_Status,chsi_Min_Health_Status,chsi_Max_Health_Status,chsi_US_Health_Status,chsi_CI_Min_Health_Status,chsi_CI_Max_Health_Status,chsi_Unhealthy_Days,chsi_Min_Unhealthy_Days,chsi_Max_Unhealthy_Days,chsi_US_Unhealthy_Days,chsi_CI_Min_Unhealthy_Days,chsi_CI_Max_Unhealthy_Days,chsi_No_HS_Diploma,chsi_Unemployed,chsi_Sev_Work_Disabled,chsi_Major_Depression,chsi_Recent_Drug_Use,chsi_Ecol_Rpt,chsi_Ecol_Rpt_Ind,chsi_Ecol_Exp,chsi_Salm_Rpt,chsi_Salm_Rpt_Ind,chsi_Salm_Exp,chsi_Shig_Rpt,chsi_Shig_Rpt_Ind,chsi_Shig_Exp,chsi_Toxic_Chem,chsi_Carbon_Monoxide_Ind,chsi_Nitrogen_Dioxide_Ind,chsi_Sulfur_Dioxide_Ind,chsi_Ozone_Ind,chsi_Particulate_Matter_Ind,chsi_Lead_Ind,chsi_EH_Time_Span
0,1,1,"frontier status, population size, poverty, age",Autauga,Alabama,AL,29,37,48612,28447,55936,82.0,40.0,141.0,10.4,9.5,12.9,26.9,23.7,32.3,62.3,58.8,64.1,9.8,7.3,12.0,0.9,0.8,2.1,80.7,80.7,98.5,17.3,0.4,17.3,0.5,0.1,1.1,0.6,0.2,2.2,1.7,0.8,19.2,0.0,3.0,0.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,3.0,0.0,3.0,3.0,11.0,0.0,3.0,0.0,8.0,4.0,2.0,1999-2003,,,,,,,,,,,,,,,,27.8,20.7,34.9,78.6,69.4,87.8,24.5,17.3,31.7,29.1,19.2,39.0,26.6,19.1,34.0,14.2,9.1,19.3,5690.0,4762.0,1209.0,45.3,22.6,1,2,74.9,74.5,78.0,76.5,1041.5,794.8,1008.8,898.6,993.1,1089.8,21.8,11.7,22.8,17.1,15.5,28.2,7.5,4.0,8.8,6,5.4,9.7,6690.0,774.0,1727.0,2680,2394,2.0,3.0,4.0,50.0,4.0,31.0,4.0,3.0,11.0,2883197.0,1,1,1,1,1,1,1999-2003
1,1,3,"frontier status, population size, poverty, age",Baldwin,Alabama,AL,16,27,162586,118395,277035,102.0,39.0,457.0,10.2,9.7,12.9,23.5,21.3,25.4,60.3,55.3,62.0,14.5,11.8,19.5,1.8,1.9,3.4,88.4,83.5,96.3,9.9,1.0,14.1,0.5,0.1,1.1,0.4,0.4,3.3,2.3,0.8,13.7,0.0,3.0,4.0,2.0,3.0,22.0,17.0,4.0,9.0,0.0,3.0,0.0,0.0,3.0,27.0,0.0,3.0,0.0,0.0,3.0,4.0,2001-2003,86.1,81.3,90.9,82.0,74.4,89.6,44.1,37.2,51.1,58.7,50.8,66.6,61.8,54.1,69.4,27.2,23.2,31.2,76.2,71.2,81.3,23.6,19.5,27.6,30.5,24.5,36.6,24.6,20.3,28.8,7.2,5.2,9.3,19798.0,22635.0,3839.0,67.0,30.8,1,2,76.6,75.5,78.2,76.5,856.9,729.2,931.7,898.6,831.4,882.5,15.4,11.9,20.4,17.1,12.4,18.3,6.7,5.6,7.4,6,5.7,7.7,20254.0,2533.0,4933.0,9354,7753,2.0,3.0,4.0,99.0,4.0,67.0,41.0,4.0,13.0,35664.0,1,1,1,2,1,1,2001-2003
2,1,5,"frontier status, population size, poverty, age, population density",Barbour,Alabama,AL,51,33,28414,27269,43226,32.0,14.0,41.0,22.1,18.0,24.6,24.3,23.5,32.2,62.5,54.9,62.5,11.6,9.6,12.6,1.6,1.2,1.8,52.2,48.6,97.0,46.8,0.7,50.7,0.4,0.2,7.1,0.3,0.2,2.3,3.1,1.0,67.7,0.0,3.0,0.0,2.0,3.0,7.0,0.0,3.0,6.0,0.0,3.0,0.0,0.0,3.0,6.0,0.0,3.0,0.0,6.0,4.0,3.0,1999-2003,,,,,,,,,,,,,,,,,,,,,,25.6,16.2,35.0,,,,17.7,10.2,25.1,6.6,2.0,11.3,5126.0,3288.0,1092.0,45.8,24.6,1,2,74.5,72.3,77.3,76.5,1019.4,780.2,1108.1,898.6,968.4,1070.5,21.4,18.3,31.7,17.1,13.2,29.6,,5.5,8.0,6,,,6729.0,569.0,1302.0,1618,1403,0.0,3.0,0.0,53.0,4.0,29.0,1.0,3.0,16.0,49874.0,1,1,1,1,1,1,1999-2003
3,1,7,"frontier status, population size, poverty, age",Bibb,Alabama,AL,42,53,21516,8134,24778,35.0,9.0,66.0,16.8,12.5,16.4,24.6,24.4,32.4,63.3,55.8,63.2,10.9,9.2,13.3,1.2,1.0,2.1,76.8,63.9,97.6,22.5,0.3,35.4,0.3,0.1,2.6,0.1,0.1,1.5,1.4,1.2,46.9,0.0,3.0,0.0,2.0,3.0,14.0,4.0,3.0,4.0,0.0,3.0,0.0,3.0,4.0,6.0,0.0,3.0,0.0,2.0,4.0,6.0,1994-2003,,,,,,,,,,,,,,,,,,,86.6,77.8,95.4,,,,,,,,,,13.1,4.7,21.5,3315.0,2390.0,974.0,41.8,18.6,1,1,73.2,73.3,77.8,76.5,1050.5,827.1,1110.4,898.6,1004.4,1096.5,19.4,13.0,29.3,17.1,10.1,28.7,,4.7,8.2,6,,,5355.0,358.0,900.0,1218,1034,2.0,4.0,2.0,9.0,3.0,32.0,3.0,3.0,16.0,7302.0,1,1,1,1,1,1,1994-2003
4,1,9,"frontier status, population size, poverty, age",Blount,Alabama,AL,28,39,55725,29009,53844,86.0,30.0,229.0,11.9,9.4,13.4,24.5,21.8,26.1,62.1,61.0,66.2,12.1,8.8,13.5,1.3,1.2,2.1,97.1,78.1,97.6,1.5,0.6,20.5,0.5,0.1,0.9,0.2,0.3,2.2,6.3,0.8,6.3,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,0.0,3.0,0.0,3.0,3.0,8.0,0.0,3.0,0.0,0.0,3.0,3.0,1999-2003,87.2,79.7,94.7,,,,,,,,,,,,,33.5,26.3,40.6,74.6,66.1,83.0,24.2,17.2,31.2,,,,23.6,16.7,30.4,8.4,4.4,12.4,8131.0,5019.0,1300.0,16.2,10.8,2,1,76.1,74.9,79.4,76.5,954.2,722.0,1002.4,898.6,916.2,992.1,25.8,10.1,24.6,17.1,19.6,32.1,7.9,4.2,7.8,6,6.0,9.8,11181.0,819.0,2217.0,3164,2675,1.0,3.0,5.0,25.0,3.0,31.0,11.0,4.0,5.0,889020.0,1,1,1,1,1,1,1999-2003
5,1,11,"frontier status, population size, poverty, age, population density",Bullock,Alabama,AL,75,37,11055,6228,19495,18.0,15.0,22.0,26.2,17.0,24.9,24.7,22.3,28.6,63.2,55.2,63.8,10.0,11.0,15.1,2.2,1.8,2.6,27.8,30.0,97.1,71.4,1.1,69.6,0.4,0.1,1.6,0.2,0.1,0.5,5.9,0.7,37.8,0.0,3.0,0.0,1.0,3.0,8.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,7.0,0.0,3.0,0.0,4.0,4.0,5.0,1994-2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295.0,1433.0,504.0,54.3,18.1,1,1,71.9,72.1,76.4,76.5,1107.6,908.9,1153.6,898.6,1048.4,1166.7,,18.5,33.0,17.1,,,,4.2,9.4,6,,,2848.0,327.0,448.0,626,565,0.0,3.0,1.0,17.0,3.0,20.0,7.0,4.0,7.0,,1,1,1,1,1,1,1994-2003
6,1,13,"frontier status, population size, poverty, age, population density",Butler,Alabama,AL,76,38,20766,9226,23786,27.0,24.0,42.0,20.0,16.7,23.3,25.6,24.8,29.5,58.5,56.1,60.6,13.6,11.1,14.3,2.4,1.6,2.6,57.5,48.3,91.8,41.9,4.4,50.9,0.2,0.0,2.0,0.3,0.2,0.7,0.9,0.9,12.1,0.0,3.0,0.0,0.0,3.0,9.0,5.0,3.0,6.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,7.0,3.0,21.0,1994-2003,,,,,,,,,,,,,,,,24.5,15.5,33.5,,,,22.0,13.0,31.0,,,,27.3,17.6,37.0,9.5,4.4,14.6,4055.0,3150.0,952.0,43.3,19.3,1,2,73.0,72.2,75.5,76.5,1084.2,992.4,1133.0,898.6,1043.9,1124.6,21.6,17.4,31.8,17.1,13.8,29.5,6.9,5.3,8.8,6,4.5,9.3,4363.0,537.0,976.0,1164,1029,0.0,3.0,0.0,23.0,3.0,39.0,5.0,3.0,17.0,98136.0,1,1,1,1,1,1,1994-2003
7,1,15,"frontier status, population size, poverty",Calhoun,Alabama,AL,6,53,112141,111380,231954,184.0,43.0,697.0,16.4,12.4,16.5,24.1,22.4,29.6,61.6,57.8,62.9,12.7,8.5,16.2,1.5,1.1,2.7,78.3,65.8,95.0,19.7,1.0,30.1,0.4,0.3,1.9,0.8,0.7,3.4,2.0,1.9,21.0,1.0,3.0,0.0,2.0,3.0,10.0,7.0,3.0,13.0,0.0,3.0,0.0,0.0,3.0,13.0,0.0,3.0,0.0,7.0,4.0,7.0,2001-2003,82.7,77.0,88.4,76.5,67.3,85.6,46.2,37.8,54.6,57.3,47.6,67.1,56.2,46.6,65.9,29.2,25.1,33.3,81.9,77.2,86.7,27.0,22.8,31.1,33.2,26.9,39.6,25.5,21.3,29.7,11.2,8.4,13.9,16456.0,16440.0,5301.0,75.8,41.9,1,2,73.1,73.5,77.3,76.5,1100.3,829.9,1032.7,898.6,1065.6,1135.0,26.7,12.7,21.7,17.1,22.6,30.8,8.0,5.2,7.6,6,6.8,9.2,19546.0,2182.0,5722.0,6400,5545,0.0,3.0,3.0,31.0,3.0,54.0,33.0,4.0,33.0,808521.0,1,1,1,1,1,1,2001-2003
8,1,17,"frontier status, population size, poverty, age, population density",Chambers,Alabama,AL,50,27,35460,27028,48148,59.0,56.0,140.0,16.2,13.7,16.2,24.8,20.8,25.3,59.5,56.8,63.8,13.5,11.6,16.2,2.2,1.7,3.3,60.8,70.1,98.4,38.6,0.3,28.8,0.1,0.1,0.5,0.2,0.2,1.9,1.2,0.6,3.1,0.0,3.0,0.0,2.0,3.0,4.0,0.0,3.0,4.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,4.0,2.0,1999-2003,87.9,78.4,97.4,,,,,,,,,,,,,34.7,25.3,44.0,84.6,75.4,93.7,,,,,,,11.7,6.2,17.1,17.1,10.2,24.1,5533.0,5473.0,1497.0,53.6,22.6,1,2,73.8,73.4,76.9,76.5,1075.6,879.5,1101.8,898.6,1032.4,1118.8,32.3,17.5,29.5,17.1,22.8,41.9,7.9,5.5,8.7,6,5.5,10.3,8718.0,849.0,1470.0,2005,1647,0.0,3.0,2.0,32.0,4.0,29.0,1.0,3.0,9.0,276636.0,1,1,1,1,1,1,1999-2003
9,1,19,"frontier status, population size, poverty, age, population density",Cherokee,Alabama,AL,64,41,24522,9340,25391,44.0,35.0,46.0,15.2,12.0,15.7,21.9,19.6,24.3,61.4,58.6,61.6,15.2,12.9,17.7,1.4,1.6,2.9,93.3,87.8,98.8,5.5,0.4,10.8,0.3,0.1,0.9,0.3,0.1,0.5,1.1,0.6,7.8,1.0,3.0,0.0,0.0,3.0,7.0,2.0,3.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,3.0,0.0,1994-2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,14.2,33.0,13.3,6.8,19.8,3583.0,3086.0,854.0,28.5,12.2,2,1,75.3,74.0,76.9,76.5,999.3,869.0,1083.5,898.6,960.5,1038.1,,12.2,30.3,17.1,,,8.8,5.2,9.5,6,5.9,11.8,6398.0,464.0,1154.0,1436,1140,1.0,3.0,2.0,6.0,3.0,35.0,6.0,4.0,9.0,7077.0,1,1,1,1,1,1,1994-2003
