,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
0,1001,AUTAUGA,AL,Chronic Kidney Disease,Urban,26,"[1,000-4,999]",25.0,"[1,000-4,999]",32.0,[500-999],25.0,[11-499],24.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Autauga County,1001.0,27.0,386.0,-86.844516,32.756889
1,1003,BALDWIN,AL,Chronic Kidney Disease,Rural,23,"[10,000+]",22.0,"[10,000+]",30.0,"[1,000-4,999]",19.0,[11-499],19.0,[11-499],21.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Baldwin County,1003.0,85.0,1664.0,-86.844516,32.756889
2,1005,BARBOUR,AL,Chronic Kidney Disease,Rural,30,"[1,000-4,999]",26.0,"[1,000-4,999]",37.0,[500-999],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Barbour County,1005.0,13.0,205.0,-86.844516,32.756889
3,1007,BIBB,AL,Chronic Kidney Disease,Urban,32,"[1,000-4,999]",31.0,"[1,000-4,999]",35.0,[11-499],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Bibb County,1007.0,18.0,143.0,-86.844516,32.756889
4,1009,BLOUNT,AL,Chronic Kidney Disease,Urban,25,"[1,000-4,999]",25.0,"[1,000-4,999]",21.0,[11-499],,*,29.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Blount County,1009.0,12.0,377.0,-86.844516,32.756889
6,1013,BUTLER,AL,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",25.0,"[1,000-4,999]",30.0,"[1,000-4,999]",,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Butler County,1013.0,27.0,170.0,-86.844516,32.756889
7,1015,CALHOUN,AL,Chronic Kidney Disease,Urban,29,"[10,000+]",28.0,"[10,000+]",35.0,"[1,000-4,999]",27.0,[11-499],24.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Calhoun County,1015.0,102.0,1205.0,-86.844516,32.756889
8,1017,CHAMBERS,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",26.0,"[1,000-4,999]",33.0,"[1,000-4,999]",,*,33.0,[11-499],,*,23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Chambers County,1017.0,10.0,288.0,-86.844516,32.756889
9,1019,CHEROKEE,AL,Chronic Kidney Disease,Rural,32,"[1,000-4,999]",32.0,"[1,000-4,999]",41.0,[11-499],,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Cherokee County,1019.0,10.0,230.0,-86.844516,32.756889
10,1021,CHILTON,AL,Chronic Kidney Disease,Urban,32,"[1,000-4,999]",31.0,"[1,000-4,999]",39.0,[11-499],,*,61.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Chilton County,1021.0,18.0,308.0,-86.844516,32.756889
13,1027,CLAY,AL,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",26.0,"[1,000-4,999]",31.0,[11-499],,*,21.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Clay County,1027.0,28.0,150.0,-86.844516,32.756889
15,1031,COFFEE,AL,Chronic Kidney Disease,Rural,24,"[5,000-9,999]",24.0,"[5,000-9,999]",31.0,[500-999],17.0,[11-499],14.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Coffee County,1031.0,12.0,391.0,-86.844516,32.756889
16,1033,COLBERT,AL,Chronic Kidney Disease,Urban,26,"[5,000-9,999]",25.0,"[5,000-9,999]",35.0,"[1,000-4,999]",13.0,[11-499],,[11-499],,*,24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Colbert County,1033.0,41.0,484.0,-86.844516,32.756889
19,1039,COVINGTON,AL,Chronic Kidney Disease,Rural,31,"[5,000-9,999]",30.0,"[5,000-9,999]",36.0,[500-999],36.0,[11-499],32.0,[11-499],,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Covington County,1039.0,56.0,433.0,-86.844516,32.756889
20,1041,CRENSHAW,AL,Chronic Kidney Disease,Rural,34,"[1,000-4,999]",33.0,"[1,000-4,999]",40.0,[11-499],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Crenshaw County,1041.0,26.0,154.0,-86.844516,32.756889
21,1043,CULLMAN,AL,Chronic Kidney Disease,Rural,24,"[10,000+]",24.0,"[10,000+]",20.0,[11-499],26.0,[11-499],27.0,[11-499],,*,26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Cullman County,1043.0,34.0,779.0,-86.844516,32.756889
22,1045,DALE,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",27.0,"[5,000-9,999]",36.0,"[1,000-4,999]",20.0,[11-499],28.0,[11-499],,*,20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Dale County,1045.0,53.0,367.0,-86.844516,32.756889
23,1047,DALLAS,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",23.0,"[1,000-4,999]",31.0,"[1,000-4,999]",28.0,[11-499],,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Dallas County,1047.0,46.0,366.0,-86.844516,32.756889
24,1049,DE KALB,AL,Chronic Kidney Disease,Rural,27,"[5,000-9,999]",27.0,"[5,000-9,999]",28.0,[11-499],,*,29.0,[11-499],,*,41.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,DeKalb County,1049.0,21.0,525.0,-86.844516,32.756889
25,1051,ELMORE,AL,Chronic Kidney Disease,Urban,25,"[5,000-9,999]",24.0,"[5,000-9,999]",28.0,[500-999],26.0,[11-499],23.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Elmore County,1051.0,35.0,523.0,-86.844516,32.756889
