,internet_name,internet_geo_id,internet_geo_type,internet_year,internet_date,internet_variable_code,internet_variable_label,internet_value,internet_Latitude,internet_Longitude,fips_internet_geo_id,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
3,"Buncombe County, North Carolina",0500000US37021,county,2018,2018-12-31,B28002_013E,Households with no internet access,16794.0,-82.539228459251,35.62069649909984,37021,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NC,Buncombe County,37021.0,115.0,2357.0,-79.130883,35.52603
6,"Shawano County, Wisconsin",0500000US55115,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,4618.0,-88.73735059245818,44.8055127762396,55115,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Shawano County,55115.0,16.0,309.0,-89.732969,44.639954
8,"Catawba County, North Carolina",0500000US37035,county,2017,2017-12-31,B28002_013E,Households with no internet access,12670.0,-81.20446053739296,35.689525,37035,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NC,Catawba County,37035.0,56.0,1233.0,-79.130883,35.52603
9,"Albemarle County, Virginia",0500000US51003,county,2018,2018-12-31,B28002_013E,Households with no internet access,4633.0,-78.56185258129649,38.00134682987795,51003,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,VA,Albemarle County,51003.0,41.0,862.0,-78.666382,37.510861
10,"Ontario County, New York",0500000US36069,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,27978.0,-77.28195292561571,42.806449,36069,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NY,Ontario County,36069.0,35.0,824.0,-75.59655,42.921241
16,"Tattnall County, Georgia",0500000US13267,county,2018,2018-12-31,B28002_013E,Households with no internet access,2174.0,-82.05322050960473,32.0536885,13267,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,GA,Tattnall County,13267.0,11.0,133.0,-83.426574,32.638481
19,"Logan County, Colorado",0500000US08075,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,5231.0,-103.1126103116505,40.727371,8075,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Logan County,8075.0,11.0,162.0,-105.547832,38.998552
20,"Spotsylvania County, Virginia",0500000US51177,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,23288.0,-77.65820457403615,38.18381860457684,51177,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,VA,Spotsylvania County,51177.0,28.0,619.0,-78.666382,37.510861
25,"Karnes County, Texas",0500000US48255,county,2018,2018-12-31,B28002_013E,Households with no internet access,1641.0,-97.90055714407357,28.9475175,48255,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Karnes County,48255.0,13.0,93.0,-99.317341,31.447238
28,"St. Clair County, Illinois",0500000US17163,county,2018,2018-12-31,B28002_013E,Households with no internet access,22936.0,-89.92932775935674,38.43391699999999,17163,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IL,St. Clair County,17163.0,189.0,2053.0,-89.148632,40.124144
30,"Douglas County, Georgia",0500000US13097,county,2018,2018-12-31,B28002_013E,Households with no internet access,5941.0,-84.76803181897965,33.6881085,13097,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,GA,Douglas County,13097.0,39.0,612.0,-83.426574,32.638481
32,"Stearns County, Minnesota",0500000US27145,county,2018,2018-12-31,B28002_013E,Households with no internet access,8017.0,-94.64084603606881,45.5284405,27145,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MN,Stearns County,27145.0,66.0,1357.0,-94.198308,46.349153
33,"Terrebonne Parish, Louisiana",0500000US22109,county,2017,2017-12-31,B28002_013E,Households with no internet access,10998.0,-90.8311108626577,29.4220155,22109,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,LA,Terrebonne Parish,22109.0,111.0,936.0,-91.840238,30.921314
34,"Chittenden County, Vermont",0500000US50007,county,2017,2017-12-31,B28002_013E,Households with no internet access,6952.0,-73.0526911458372,44.4432215,50007,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,VT,Chittenden County,50007.0,50.0,1284.0,-72.662695,44.075252
35,"Lucas County, Ohio",0500000US39095,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,92861.0,-83.7458935938217,41.574123,39095,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OH,Lucas County,39095.0,458.0,4633.0,-82.70936,40.415534
36,"Jackson County, Missouri",0500000US29095,county,2017,2017-12-31,B28002_013E,Households with no internet access,54871.0,-94.35842650919963,39.0355966986399,29095,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MO,Jackson County,29095.0,270.0,6137.0,-92.477244,38.3675
37,"Casey County, Kentucky",0500000US21045,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,4012.0,-84.9337272292949,37.3268985,21045,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,KY,Casey County,21045.0,11.0,109.0,-85.290484,37.526683
40,"Lyon County, Kansas",0500000US20111,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,6699.0,-96.1521843050398,38.456155,20111,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,KS,Lyon County,20111.0,28.0,208.0,-98.38018,38.484729
41,"Hudson County, New Jersey",0500000US34017,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,111445.0,-74.06860676776114,40.7339695,34017,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NJ,Hudson County,34017.0,1099.0,3757.0,-74.655514,40.110253
44,"Jenkins County, Georgia",0500000US13165,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,2720.0,-81.97791545137495,32.796436,13165,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,GA,Jenkins County,13165.0,14.0,69.0,-83.426574,32.638481
45,"Washington County, New York",0500000US36115,county,2018,2018-12-31,B28002_013E,Households with no internet access,4595.0,-73.43021650056153,43.374402,36115,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NY,Washington County,36115.0,12.0,429.0,-75.59655,42.921241
49,"Nash County, North Carolina",0500000US37127,county,2017,2017-12-31,B28002_013E,Households with no internet access,9999.0,-77.97192541243842,35.971656,37127,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NC,Nash County,37127.0,19.0,590.0,-79.130883,35.52603
51,"Denton County, Texas",0500000US48121,county,2017,2017-12-31,B28002_013E,Households with no internet access,22908.0,-97.11547928739205,33.21113,48121,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Denton County,48121.0,201.0,3327.0,-99.317341,31.447238
52,"Gordon County, Georgia",0500000US13129,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,10941.0,-84.87197984119578,34.50675099999999,13129,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,GA,Gordon County,13129.0,35.0,425.0,-83.426574,32.638481
56,"Navarro County, Texas",0500000US48349,county,2018,2018-12-31,B28002_013E,Households with no internet access,3970.0,-96.47541451219709,32.0624275,48349,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Navarro County,48349.0,20.0,356.0,-99.317341,31.447238
57,"Hardin County, Kentucky",0500000US21093,county,2017,2017-12-31,B28002_013E,Households with no internet access,7068.0,-85.94225069853684,37.7224815,21093,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,KY,Hardin County,21093.0,15.0,820.0,-85.290484,37.526683
68,"Rutherford County, Tennessee",0500000US47149,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,35604.0,-86.39197371841361,35.85943890211848,47149,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Rutherford County,47149.0,171.0,2213.0,-86.343226,35.842998
73,"Angelina County, Texas",0500000US48005,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,16222.0,-94.63547145818478,31.276592,48005,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Angelina County,48005.0,75.0,873.0,-99.317341,31.447238
74,"Ottawa County, Ohio",0500000US39123,county,2018,2018-12-31,B28002_013E,Households with no internet access,2554.0,-83.20768876466799,41.540289,39123,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OH,Ottawa County,39123.0,18.0,255.0,-82.70936,40.415534
76,"Fayette County, Georgia",0500000US13113,county,2018,2018-12-31,B28002_013E,Households with no internet access,3225.0,-84.50006169963486,33.403713,13113,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,GA,Fayette County,13113.0,103.0,886.0,-83.426574,32.638481
80,"Covington County, Alabama",0500000US01039,county,2018,2018-12-31,B28002_013E,Households with no internet access,4222.0,-86.44720333339274,31.2668475,1039,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Covington County,1039.0,56.0,433.0,-86.844516,32.756889
82,"Muskegon County, Michigan",0500000US26121,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,39144.0,-86.2105792423676,43.29602680475779,26121,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MI,Muskegon County,26121.0,94.0,1491.0,-85.730977,44.874798
83,"Black Hawk County, Iowa",0500000US19013,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,20471.0,-92.31796191968832,42.47617940270075,19013,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IA,Black Hawk County,19013.0,109.0,1109.0,-93.500061,42.074659
84,"Dyer County, Tennessee",0500000US47045,county,2017,2017-12-31,B28002_013E,Households with no internet access,3721.0,-89.42368423532683,36.0488031256987,47045,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Dyer County,47045.0,27.0,402.0,-86.343226,35.842998
90,"St. Louis city, Missouri",0500000US29510,county,2018,2018-12-31,B28002_013E,Households with no internet access,34099.0,-90.24100111904762,38.651628,29510,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MO,St. Louis city,29510.0,260.0,3756.0,-92.477244,38.3675
91,"Boone County, Kentucky",0500000US21015,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,9080.0,-84.72078260928865,38.9647705,21015,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,KY,Boone County,21015.0,11.0,590.0,-85.290484,37.526683
95,"Cullman County, Alabama",0500000US01043,county,2018,2018-12-31,B28002_013E,Households with no internet access,7795.0,-86.90426810824326,34.086046,1043,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Cullman County,1043.0,34.0,779.0,-86.844516,32.756889
99,"Ingham County, Michigan",0500000US26065,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,56038.0,-84.37362473412887,42.598191,26065,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MI,Ingham County,26065.0,95.0,2424.0,-85.730977,44.874798
104,"Edgecombe County, North Carolina",0500000US37065,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,13212.0,-77.57771471618184,35.9128455,37065,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NC,Edgecombe County,37065.0,22.0,379.0,-79.130883,35.52603
106,"Walton County, Florida",0500000US12131,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,10410.0,-86.15216599478129,30.63150406409107,12131,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Walton County,12131.0,35.0,513.0,-82.420978,28.260731
107,"Reno County, Kansas",0500000US20155,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,8021.0,-98.08703907973091,37.94825899999999,20155,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,KS,Reno County,20155.0,17.0,571.0,-98.38018,38.484729
109,"Salt Lake County, Utah",0500000US49035,county,2017,2017-12-31,B28002_013E,Households with no internet access,37385.0,-111.9030614869097,40.667623,49035,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,UT,Salt Lake County,49035.0,372.0,6279.0,-111.678222,39.323779
112,"Calhoun County, South Carolina",0500000US45017,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,2659.0,-80.78547486382328,33.672814,45017,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Calhoun County,45017.0,13.0,110.0,-80.864614,33.878572
114,"Kankakee County, Illinois",0500000US17091,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,23667.0,-87.88436791033715,41.14444,17091,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IL,Kankakee County,17091.0,76.0,998.0,-89.148632,40.124144
118,"Marshall County, Indiana",0500000US18099,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,5302.0,-86.26215600371717,41.330033,18099,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IN,Marshall County,18099.0,29.0,352.0,-86.2818,39.919991
119,"Hinds County, Mississippi",0500000US28049,county,2017,2017-12-31,B28002_013E,Households with no internet access,23654.0,-90.42523002864507,32.311197,28049,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MS,Hinds County,28049.0,543.0,3759.0,-89.65344,32.713378
